care_need,display_name,match_keywords
dialysis,Dialysis,dialysis;haemodialysis;hemodialysis;renal
emergency_surgery,Emergency Surgery,emergency;trauma;casualty;icu;operation theater
maternity,Maternity / Childbirth,delivery;obstetric;nicu;caesarean;labour
cardiac_care,Cardiac Care,cardiology;ecg;cath lab;angiography;heart
cancer_care,Cancer Care,oncology;chemotherapy;radiotherapy;tumor
orthopedics,Orthopedics / Fractures,fracture;joint replacement;knee;hip;spine
pediatric_care,Pediatric Care,pediatric;child;neonatal;vaccination
eye_care,Eye Care,cataract;eye;ophthalmology;glaucoma
dental_care,Dental Care,dental;tooth;oral
general_consultation,General Consultation,consultation;checkup;opd;general medicine
