specialty_code,display_name,category,aliases
nephrology,Nephrology,medical,nephrology;dialysis;nephrologyanddialysis
cardiology,Cardiology,medical,cardiology
emergencyMedicine,Emergency Medicine,medical,emergencymedicine;emergency;casualty
generalSurgery,General Surgery,surgical,generalsurgery;surgery
orthopedicSurgery,Orthopedic Surgery,surgical,orthopedicsurgery;orthopedics;ortho
obstetricsGynecology,Obstetrics & Gynecology,medical,gynecologyandobstetrics;obstetrics;gynecology;maternity
pediatrics,Pediatrics,medical,pediatrics;paediatrics;neonatology;neonatologyperinatalmedicine
oncology,Oncology,medical,oncology;cancer;medicaloncology
internalMedicine,Internal Medicine,medical,internalmedicine;generalmedicine;medicine
otolaryngology,ENT,surgical,otolaryngology;ent
ophthalmology,Ophthalmology,surgical,ophthalmology;eye
dentistry,Dentistry,medical,dentistry;dental
radiology,Radiology,diagnostic,radiology;imaging
neurology,Neurology,medical,neurology
neurosurgery,Neurosurgery,surgical,neurosurgery;spineneurosurgery
urology,Urology,surgical,urology
gastroenterology,Gastroenterology,medical,gastroenterology
pulmonology,Pulmonology,medical,pulmonology
dermatology,Dermatology,medical,dermatology
psychiatry,Psychiatry,medical,psychiatry
